city,station_count
Delhi,40
Mumbai,30
Bengaluru,14
Hyderabad,14
Pune,10
Ahmedabad,9
Chennai,9
Navi Mumbai,8
Lucknow,7
Kolkata,7
Moradabad,7
Jaipur,6
Patna,6
Agra,6
Indore,5
Jodhpur,5
Gwalior,4
Guwahati,4
Gurugram,4
Jabalpur,4
Ghaziabad,4
Faridabad,4
Kanpur,4
Vijayawada,4
Nashik,4
Varanasi,4
Aurangabad,4
Noida,4
Raipur,4
Nagpur,4
Muzaffarpur,3
Rourkela,3
Gandhinagar,3
Gaya,3
Bhopal,3
Thane,3
Solapur,3
Bhilai,3
Howrah,3
Chandigarh,3
Meerut,3
Prayagraj,3
Pimpri-Chinchwad,3
Kota,3
Korba,2
Coimbatore,2
Cuddalore,2
Dhanbad,2
Tirupati,2
Firozabad,2
Sagar,2
Hubballi,2
Thiruvananthapuram,2
Kolhapur,2
Greater Noida,2
Kalaburagi,2
Shillong,2
Imphal,2
Chandrapur,2
Agartala,2
Bhagalpur,2
Amravati,2
Baghpat,2
Bhubaneswar,2
Bareilly,2
Puducherry,1
Panipat,1
Parbhani,1
Pathardih,1
Patiala,1
Ariyalur,1
Araria,1
Pithampur,1
Pratapgarh,1
Ankleshwar,1
Purnia,1
Angul,1
Palwal,1
Raichur,1
Anantapur,1
Rairangpur,1
Rajamahendravaram,1
Rajgir,1
Rajsamand,1
Ramanagara,1
Ramanathapuram,1
Ratlam,1
Rishikesh,1
Panchkula,1
Chamarajanagar,1
Palkalaiperur,1
Nagaon,1
Mangalore,1
Manguraha,1
Balasore,1
Milupara,1
Mira-Bhayandar,1
Bahadurgarh,1
Motihari,1
Munger,1
Muzaffarnagar,1
Bagalkot,1
Mysuru,1
Nagaur,1
Rohtak,1
Badlapur,1
Naharlagun,1
Nalbari,1
Nanded,1
Nandesari,1
Narnaul,1
Baddi,1
Asansol,1
Nayagarh,1
Arrah,1
Ooty,1
Pali,1
Amritsar,1
Mandikhera,1
Alwar,1
Thoothukudi,1
Thrissur,1
Tiruchirappalli,1
Ajmer,1
Tirupur,1
Tonk,1
Tumakuru,1
Tumidih,1
Udaipur,1
Udupi,1
Ujjain,1
Ulhasnagar,1
Vapi,1
Aizawl,1
Vatva,1
Vellore,1
Vijayapura,1
Ahmednagar,1
Virar,1
Virudhunagar,1
Visakhapatnam,1
Vrindavan,1
Yadgir,1
Akola,1
Tensa,1
Rupnagar,1
Talcher,1
Saharsa,1
Salem,1
Samastipur,1
Sangli,1
Sasaram,1
Satna,1
Sawai Madhopur,1
Ambala,1
Shivamogga,1
Sikar,1
Silchar,1
Siliguri,1
Singrauli,1
Sirohi,1
Sirsa,1
Sivasagar,1
Siwan,1
Amaravati,1
Sonipat,1
Sri Ganganagar,1
Srinagar,1
Suakati,1
Surat,1
Manesar,1
Mandi Gobindgarh,1
Mandideep,1
Dhule,1
Dungarpur,1
Durgapur,1
Eloor,1
Ernakulam,1
Bilaspur,1
Fatehabad,1
Bikaner,1
Gadag,1
Bihar Sharif,1
Gangtok,1
Bidar,1
Gorakhpur,1
Bhiwani,1
Gummidipoondi,1
Bhiwandi,1
Bhiwadi,1
Bhilwara,1
Hajipur,1
Haldia,1
Hanumangarh,1
Hapur,1
Hassan,1
Haveri,1
Dindigul,1
Dholpur,1
Hosur,1
Dharwad,1
Byasanagar,1
Charkhi Dadri,1
Chengalpattu,1
Bundi,1
Chhal,1
Chhapra,1
Chikkaballapur,1
Chikkamagaluru,1
Chittoor,1
Chittorgarh,1
Churu,1
Bulandshahr,1
Brajrajnagar,1
Cuttack,1
Damoh,1
Darbhanga,1
Dausa,1
Davanagere,1
Dehradun,1
Boisar,1
Dewas,1
Bileipada,1
Dharuhera,1
Hisar,1
Bharatpur,1
Byrnihat,1
Kashipur,1
Katni,1
Keonjhar,1
Khanna,1
Khurja,1
Kishanganj,1
Kochi,1
Kohima,1
Kolar,1
Barbil,1
Kollam,1
Koppal,1
Baran,1
Banswara,1
Kozhikode,1
Kunjemura,1
Kurukshetra,1
Latur,1
Ballabgarh,1
Ludhiana,1
Madikeri,1
Mahad,1
Maihar,1
Malegaon,1
Katihar,1
Karwar,1
Bettiah,1
Karnal,1
Belgaum,1
Belapur,1
Begusarai,1
Bathinda,1
Jaisalmer,1
Jalandhar,1
Jalgaon,1
Jalna,1
Jalore,1
Jhalawar,1
Jhansi,1
Jhunjhunu,1
Jind,1
Barrackpore,1
Jorapokhar,1
Kadapa,1
Kaithal,1
Barmer,1
Kalyan,1
Kanchipuram,1
Kannur,1
Baripada,1
Karauli,1
Yamuna Nagar,1
